"assessid","agency1","agency2","country","region","area","fishery_type","phylum","class","order","family","genus","species","species_common","year","bbmsy","bbmsy_status","catch_tmt","catch_type","category","resilience","tc_nyrs","tl_nyrs","catch_ts","catch_ts_nyrs"
"INIDEP-PATGRENADIERSARG-1983-2006-Parma","CFP","INIDEP","Argentina","South America","Southern Argentina","Cod, pollack, haddock, hake","Chordata","Actinopterygii","Gadiformes","Merlucciidae","Macruronus","Macruronus magellanicus","Patagonian grenadier",2006,2.15,1,141.7408,"catch","Cods, hakes, haddocks","Low",22,0,"tc",22
"CSIRO-BIGHTREDSE-1958-2007-FULTON","AFMA","CSIRO","Australia","Australia","Southeast Australia","Other bony fish","Chordata","Actinopterygii","Beryciformes","Berycidae","Centroberyx","Centroberyx gerrardi","Bight redfish",2007,0.946,2,0.92438675,"landings","Miscellaneous demersal fishes","Very low",0,49,"tl",49
"CSIRO-DEEPFLATHEADSE-1978-2007-FULTON","AFMA","CSIRO","Australia","Australia","Southeast Australia","Other bony fish","Chordata","Actinopterygii","Scorpaeniformes","Platycephalidae","Platycephalus","Platycephalus conatus","Deepwater flathead",2007,1.51,1,1.832875,"landings","Miscellaneous coastal fishes","Low",0,29,"tl",29
"CSIRO-MORWONGSE-1913-2007-FULTON","AFMA","CSIRO","Australia","Australia","Southeast Australia","Other bony fish","Chordata","Actinopterygii","Perciformes","Cheilodactylidae","Nemadactylus","Nemadactylus macropterus","Hawaiian morwong",2007,0.313,3,0.5564,"landings","Miscellaneous demersal fishes","Low",0,95,"tl",95
"CSIRO-NZLINGESE-1968-2007-FULTON","AFMA","CSIRO","Australia","Australia","Southeast Australia","New Zealand ling","Chordata","Actinopterygii","Ophidiiformes","Ophidiidae","Genypterus","Genypterus blacodes","New Zealand ling",2007,0.59,2,0.79412,"landings","Miscellaneous demersal fishes","Low",0,40,"tl",40
"CSIRO-NZLINGWSE-1968-2007-FULTON","AFMA","CSIRO","Australia","Australia","Western half of Southeast Australia","New Zealand ling","Chordata","Actinopterygii","Ophidiiformes","Ophidiidae","Genypterus","Genypterus blacodes","New Zealand ling",2007,1.08,2,0.60408,"landings","Miscellaneous demersal fishes","Low",0,40,"tl",40
"CSIRO-OROUGHYSE-1978-2007-FULTON","AFMA","CSIRO","Australia","Australia","Southeast Australia","Other bony fish","Chordata","Actinopterygii","Beryciformes","Trachichthyidae","Hoplostethus","Hoplostethus atlanticus","Orange roughy",2007,0.519,2,0.8045,"landings","Miscellaneous demersal fishes","Very low",0,29,"tl",29
"CSIRO-PTOOTHFISHMI-1975-2010-FAY","AFMA","CSIRO","Australia","Australia","Macquarie Island","Other bony fish","Chordata","Actinopterygii","Perciformes","Nototheniidae","Dissostichus","Dissostichus eleginoides","Patagonian toothfish",2010,2.3,1,0.214785665,"landings","Miscellaneous demersal fishes","Low",35,35,"tc",35
"CSIRO-SILVERFISHSE-1978-2006-FULTON","AFMA","CSIRO","Australia","Australia","Southeast Australia","Other bony fish","Chordata","Actinopterygii","Perciformes","Centrolophidae","Seriolella","Seriolella punctata","Silverfish",2006,1.03,2,3.269302,"landings","Miscellaneous demersal fishes","Medium",0,29,"tl",29
"CSIRO-SWHITSE-1945-2007-FULTON","AFMA","CSIRO","Australia","Australia","Southeast Australia","Other bony fish","Chordata","Actinopterygii","Perciformes","Sillaginidae","Sillago","Sillago flindersi","School whiting",2007,0.663,2,1.4185002,"landings","Miscellaneous coastal fishes","Medium",0,63,"tl",63
"CSIRO-TIGERFLATSE-1913-2006-FULTON","AFMA","CSIRO","Australia","Australia","Southeast Australia","Other bony fish","Chordata","Actinopterygii","Scorpaeniformes","Platycephalidae","Neoplatycephalus","Neoplatycephalus richardsoni","Tiger flathead",2006,1.99,1,3.4342,"landings","Marine fishes not identified","Medium",0,93,"tl",93
"CSIRO-WAREHOUESE-1984-2006-FULTON","AFMA","CSIRO","Australia","Australia","Eastern half of Southeast Australia","Other bony fish","Chordata","Actinopterygii","Perciformes","Centrolophidae","Seriolella","Seriolella brama","whario",2006,0.488,3,0.10993506,"landings","Miscellaneous demersal fishes","Medium",0,23,"tl",23
"CSIRO-WAREHOUWSE-1984-2006-FULTON","AFMA","CSIRO","Australia","Australia","Western half of Southeast Australia","Other bony fish","Chordata","Actinopterygii","Perciformes","Centrolophidae","Seriolella","Seriolella brama","whario",2006,0.413,3,0.3832,"landings","Miscellaneous demersal fishes","Medium",0,23,"tl",23
"DFO-CROCKWCVANISOGQCI-1945-2009-STANTON","DFO","DFO","Canada","Canada West Coast","West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands","Rockfish, scorpionfish","Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","Sebastes","Sebastes pinniger","Canary rockfish",2009,1.37,2,0.85781792,"catch","Miscellaneous demersal fishes","Low",65,0,"tc",65
"DFO-MAR-HAD4X5Y-1970-2011-CHING","DFO","DFO-MAR","Canada","Canada East Coast","Western Scotian Shelf, Bay of Fundy and Gulf of Maine","Cod, pollack, haddock, hake","Chordata","Actinopterygii","Gadiformes","Gadidae","Melanogrammus","Melanogrammus aeglefinus","Haddock",2010,0.822,2,5.9323625,"landings","Cods, hakes, haddocks","Medium",0,41,"tl",41
"DFO-PAC-PCODHS-1956-2005-COLLIE","DFO","DFO-PAC","Canada","Canada West Coast","Hecate Strait","Cod, pollack, haddock, hake","Chordata","Actinopterygii","Gadiformes","Gadidae","Gadus","Gadus macrocephalus","Pacific cod",2005,1.2,2,0.3345,"landings","Cods, hakes, haddocks","Low",0,49,"tl",49
"DFO-PAC-PCODWCVANI-1956-2002-COLLIE","DFO","DFO-PAC","Canada","Canada West Coast","West Coast of Vancouver Island","Cod, pollack, haddock, hake","Chordata","Actinopterygii","Gadiformes","Gadidae","Gadus","Gadus macrocephalus","Pacific cod",2002,1.04,2,0.14825,"landings","Cods, hakes, haddocks","Low",0,46,"tl",46
"DFO-PAC-SABLEFPCAN-1913-2010-HIVELY","DFO","DFO-PAC","Canada","Canada West Coast","Pacific Coast of Canada","Other bony fish","Chordata","Actinopterygii","Scorpaeniformes","Anoplopomatidae","Anoplopoma","Anoplopoma fimbria","Sablefish",2010,0.785,2,3.123,"landings","Miscellaneous demersal fishes","Low",0,98,"tl",98
"NIWA-AUSSALMONNZ-1975-2006-JENSEN","MFish","NIWA","New Zealand","New Zealand","New Zealand","Other bony fish","Chordata","Actinopterygii","Perciformes","Arripidae","Arripis","Arripis trutta","Australian salmon",2006,1.64,1,2.546,"catch","Miscellaneous coastal fishes","Medium",32,0,"tc",32
"NIWA-BKCDLFENI-1923-2009-CORDUE","MFish","NIWA","New Zealand","New Zealand","East coast of North Island","Other bony fish","Chordata","Actinopterygii","Perciformes","Epigonidae","Epigonus","Epigonus telescopus","Black cardinalfish",2009,0.429,3,1.5446,"catch","Miscellaneous demersal fishes","Very low",87,0,"tc",87
"NIWA-BLACKOREOPR-1974-2009-CORDUE","MFish","NIWA","New Zealand","New Zealand","Pukaki Rise","Black/smooth oreos","Chordata","Actinopterygii","Zeiformes","Oreosomatidae","Allocyttus","Allocyttus niger","Black oreo",2009,1.43,2,2.9048,"catch","Miscellaneous demersal fishes","Very low",36,0,"tc",36
"NIWA-GSTRGZRSTA7-1964-2007-CORDUE","MFish","NIWA","New Zealand","New Zealand","NZ Area STA7","Other bony fish","Chordata","Actinopterygii","Perciformes","Uranoscopidae","Kathetostoma","Kathetostoma giganteum","Giant stargazer",2007,1.43,2,0.9009322,"catch","Miscellaneous demersal fishes","Medium",44,0,"tc",44
"NIWA-HOKIENZ-1970-2012-CORDUE","MFish","NIWA","New Zealand","New Zealand","Eastern New Zealand","Cod, pollack, haddock, hake","Chordata","Actinopterygii","Gadiformes","Merlucciidae","Macruronus","Macruronus novaezelandiae","Hoki",2012,1.99,1,41.527484,"catch","Cods, hakes, haddocks","Low",41,0,"tc",41
"NIWA-HOKIWNZ-1970-2012-CORDUE","MFish","NIWA","New Zealand","New Zealand","Western New Zealand","Cod, pollack, haddock, hake","Chordata","Actinopterygii","Gadiformes","Merlucciidae","Macruronus","Macruronus novaezelandiae","Hoki",2012,1.42,2,65.33252,"catch","Cods, hakes, haddocks","Low",41,0,"tc",41
